utrnno,acct1,acct2,acct_balance,acq_instit_code,amount,capt_date,currency,des_instit_code,ext_resp_code,fee_amount,fraud_flags,hpan,is_alerted,iss_instit_code,merchant_type,pid,pos_data_code,prc_code,ref_num,resp_code,resp_code_desc,stan,sysdate,terminal_address,terminal_id,trans_type,ttime,udate,cif_id,trans_type_desc,cvt_amount,ket_transfer,posconditionmode,sysday,syshour,syssec,trxcode
61965,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 15:26:11.434,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,15,11,
61964,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 15:04:38.232,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,15,38,
61963,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 15:03:33.058,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,15,33,
61962,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 15:02:14.858,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,15,14,
61961,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 11:39:51.276,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,11,51,
61960,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 11:39:50.318,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,11,50,
61959,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 11:39:29.387,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,11,29,
61958,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 11:39:28.544,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,11,28,
61957,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 11:39:27.314,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,11,27,
61956,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 11:08:27.371,,,101,,,,Transfer,"200.000,00",Pay_DANA,,5,11,27,
61955,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 11:07:53.877,,,101,,,,Transfer,"200.000,00",Pay_DANA,,5,11,53,
61954,5070200280314,5070202002294,,,20000000,,,,55,,0,,N,,,2,,,,199,General Error,,2023-08-18 02:55:41.860,,,101,,,,Transfer,"200.000,00",Pay_DANA,,5,2,41,
61953,5070200280314,5070202002294,,,20000000,,,,55,,0,,N,,,2,,,,199,General Error,,2023-08-18 02:54:57.057,,,101,,,,Transfer,"200.000,00",Pay_DANA,,5,2,57,
61952,5070200280314,5070202002294,,,20000000,,,,55,,0,,N,,,2,,,,199,General Error,,2023-08-18 02:54:10.526,,,101,,,,Transfer,"200.000,00",Pay_OVO,,5,2,10,
61951,5070200280314,5070202002294,,,20000000,,,,55,,0,,N,,,2,,,,199,General Error,,2023-08-18 02:53:20.402,,,101,,,,Transfer,"200.000,00",Pay_ShopeePay,,5,2,20,
61949,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 02:50:22.300,,,101,,,,Transfer,"200.000,00",Pay_ShopeePay,,5,2,22,
61948,5070200280314,5070202002294,,,20000000,,,,00,,0,,N,,,2,,,,-1,Success,,2023-08-18 02:48:58.662,,,101,,,,Transfer,"200.000,00",Pay_GoPay,,5,2,58,
61947,877478,6474768,,451,5000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:32:49.005,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,49,401152
61946,877478,6474768,,451,5000000,0729,360,128,55,,0,60349495,N,451,4722,3,,,12344321,199,General Error,123456,2023-08-18 02:32:25.479,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,25,401152
61945,877478,6474768,,451,5000000,0729,360,128,00,,0,60349495,N,451,4722,3,,,12344321,-1,Success,123456,2023-08-18 02:32:05.219,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,5,401152
61944,877478,6474768,,451,5000000,0729,360,128,55,,0,60349495,N,451,6847,3,,,12344321,199,General Error,123456,2023-08-18 02:30:20.500,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,20,401152
61943,877478,6474768,,451,5000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:30:00.043,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,0,401152
61942,877478,6474768,,451,5000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:29:11.280,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,11,401152
61941,877479,6474767,,451,5000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:28:43.219,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,43,401152
61940,877478,6474767,,451,5000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:28:06.864,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,6,401152
61939,877478,6474766,,451,5000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:27:25.226,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,25,401152
61938,877477,6474748,,451,5000000,0729,360,128,55,,0,60349495,N,451,6847,3,,,12344321,199,General Error,123456,2023-08-18 02:19:32.674,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,32,401152
61937,877476,6474748,,451,1000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:19:04.505,,,106,0729,0727114252,1231231231,BIFAST Transfer,"10.000,00",,51,5,2,4,401152
61936,877475,6474748,,451,5000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:18:32.133,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,32,401152
61935,877474,6474748,,451,1000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:17:59.013,,,106,0729,0727114252,1231231231,BIFAST Transfer,"10.000,00",,51,5,2,59,401152
61934,877476,6474747,,451,1000000,0729,360,128,55,,0,60349495,N,451,6847,3,,,12344321,199,General Error,123456,2023-08-18 02:16:56.449,,,106,0729,0727114252,1231231231,BIFAST Transfer,"10.000,00",,51,5,2,56,401152
61933,877475,6474747,,451,5000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:15:37.610,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,5,2,37,401152
61932,877474,6474747,,451,1000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:15:13.143,,,106,0729,0727114252,1231231231,BIFAST Transfer,"10.000,00",,51,5,2,13,401152
61931,877474,6474747,,451,1000000,0729,360,128,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:13:08.423,,,106,0729,0727114252,1231231231,BIFAST Transfer,"10.000,00",,51,5,2,8,401152
61930,877474,6474747,,128,1000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-18 02:12:44.592,,,106,0729,0727114252,1231231231,BIFAST Transfer,"10.000,00",,51,5,2,44,401152
61929,7787871231241,7878781234121,,128,5000000,0729,360,451,55,,0,60349495,N,451,6847,3,,,12344321,199,General Error,123456,2023-08-17 22:28:03.881,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,3,401152
61928,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:28:03.166,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,3,401152
61927,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:28:02.206,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,2,401152
61926,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:26:08.030,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,8,401152
61925,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:26:07.150,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,7,401152
61924,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:26:06.276,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,6,401152
61923,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:24:33.374,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,33,401152
61922,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:17:21.974,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,21,401152
61921,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:17:19.884,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,19,401152
61920,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:17:11.272,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,11,401152
61919,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:16:16.975,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,16,401152
61918,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:15:37.955,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,22,37,401152
61917,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6847,3,,,12344321,-1,Success,123456,2023-08-17 22:08:34.892,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,53,4,22,34,401152
61916,7787871231241,7878781234121,,128,5000000,0729,360,451,55,,0,60349495,N,451,6846,3,,,12344321,199,General Error,123456,2023-08-17 22:03:27.373,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,53,4,22,27,401152
61915,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 22:02:41.061,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,53,4,22,41,401152
61914,7787871231241,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:51:42.120,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,42,401152
61913,7787871231231,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:51:39.457,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,39,401152
61912,7787871231231,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:51:36.835,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,36,401152
61911,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:51:03.851,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,3,40115
61910,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:51:02.088,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,2,401465
61909,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:50:48.568,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,48,401465
61908,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:50:44.850,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,44,401445
61907,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:50:44.198,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,44,401445
61906,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:50:34.924,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,34,401445
61905,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:50:22.344,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,22,401235
61904,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:34:31.754,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,31,401238
61903,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:16:09.165,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,9,401238
61902,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:12:37.735,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,37,401238
61901,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:08:33.705,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,33,401238
61900,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-17 21:07:56.860,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,4,21,56,401238
61899,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:44:50.915,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,50,401238
61898,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:44:42.541,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,42,401228
61897,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:44:26.415,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,26,401118
61896,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:44:25.623,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,25,401118
61895,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:43:03.938,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,3,402518
61894,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:42:58.665,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,58,402518
61893,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:42:41.033,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,41,402548
61892,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:37:38.944,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,38,402548
61891,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:37:35.661,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,35,402348
61890,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:37:30.949,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,30,402348
61889,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:36:34.512,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,34,402248
61888,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:36:24.214,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,24,401248
61887,778787123123,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:34:01.338,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,1,401247
61886,77878712312,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:33:58.834,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,58,401247
61885,77878712312,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:33:58.016,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,58,401247
61884,77878712312,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:33:42.612,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,42,401246
61883,7787871231,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:33:37.591,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,37,401246
61882,7787871231,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:33:32.806,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,32,401246
61881,7787871231,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:31:17.967,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,17,401246
61880,7787871231,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:31:14.740,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,14,401245
61879,7787871231,7878781234121,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:31:11.964,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,11,401245
61878,7787871231,787878123412,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:31:06.152,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,6,401245
61877,7787871231,787878123412,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:30:59.546,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,59,401244
61876,7787871231,787878123412,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:29:14.450,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,14,401234
61875,7787871231,787878123412,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:29:11.689,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,11,401235
61874,7787871231,78787812342,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:28:07.942,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,7,401235
61873,7787871231,78787812342,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:27:40.902,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,40,401231
61872,7787871231,78787812342,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:27:30.715,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,30,401238
61871,7787871231,78787812342,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:27:16.802,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,16,401238
61870,7787871231,7878781234,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:24:59.895,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,59,401239
61869,6787871231,7878781234,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:24:57.116,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,57,401239
61868,6787871231,7878781234,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:24:56.402,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,56,401239
61867,6787871231,787878123,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:24:35.470,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,35,401239
61866,7787871231,787878123,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:24:32.101,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,32,401239
61865,7787871231,787878123,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:24:31.267,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,31,401239
61864,8787871231,787878123,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:24:07.841,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,7,401239
61863,878787123,787878123,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:23:54.172,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,54,401239
61862,878787123,787878123,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:23:44.284,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,44,401239
61861,878787123,787878123,,128,5000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 23:23:09.403,,,106,0729,0727114252,1231231231,BIFAST Transfer,"50.000,00",,51,3,23,9,401239
61860,8787871,7878781,,128,10000000,0729,360,451,00,,0,60349495,N,451,6846,3,,,12344321,-1,Success,123456,2023-08-16 19:44:19.801,,,106,0729,0727114252,1231231231,BIFAST Transfer,"100.000,00",,51,3,19,19,401239
